Word,Count,Reading,JLPT Level,Meaning
慌てる,1,アワテル,jlpt-n2,"to become confused (disconcerted, disorganized, disorganised)"
づく,1,ヅク,unknown,"to become (a state, condition, etc.)"
つま,1,ツマ,jlpt-n4,wife
おのれ,1,オノレ,unknown,"oneself (itself, etc.)"
味,1,アジ,jlpt-n4,flavor
勝敗,1,ショウハイ,jlpt-n2,victory or defeat
寸,1,スン,unknown,sun (approx. 3.03 cm)
はじめ,1,ハジメ,jlpt-n1,beginning
づゝに,1,*,unknown,unknown
執拗,1,シツヨウ,unknown,persistent
眼球,1,ガンキュウ,jlpt-n1,eyeball
切る,1,キル,jlpt-n5,to cut
せる,1,セル,unknown,cell
ふるふ,1,フルフ,unknown,old clothes
つきつける,1,ツキツケル,unknown,to thrust (at someone)
色,1,イロ,jlpt-n5,colour
切,1,セツ,jlpt-n1,end
鋼,1,ハガネ,unknown,steel
拂,1,*,unknown,unknown
干す,1,ホス,jlpt-n2,to air
陣,1,ジン,unknown,battle formation
放す,1,ホカス,jlpt-n3,to release
皮,1,カワ,jlpt-n3,skin
骨,1,ホネ,jlpt-n3,bone
脚,1,アシ,jlpt-n5,foot
鷄,1,*,unknown,chicken (Gallus gallus domesticus)
倒す,1,タオス,jlpt-n3,to throw down
疫病,1,ヤクビョウ,unknown,epidemic
無理,1,ムリ,jlpt-n4,unreasonable
しれる,1,シレル,unknown,to become known
わかつ,1,ワ,unknown,to divide
おさめる,1,オサメル,jlpt-n3,to put (into)
ぬらす,1,ヌラス,jlpt-n2,to wet
六,1,ロク,jlpt-n1,six
作者,1,サクシャ,jlpt-n2,creator (of a work)
餘波,1,*,unknown,unknown
永年,1,エイネン,unknown,long time
都,1,ト,jlpt-n3,"capital (esp. Kyoto, Japan's former capital)"
當時京,1,*,jlpt-n3,"capital (esp. Kyoto, Japan's former capital)"
筈,1,ハズ,jlpt-n4,should (be)
歸,1,*,jlpt-n5,to return
家,1,イエ,jlpt-n5,house
ふだん,1,フダン,jlpt-n3,usual
よう,1,ヨウ,jlpt-n3,appearing ...
どうし,1,ドウ,jlpt-n3,verb
格別,1,カクベツ,jlpt-n2,particular
やむ,1,ヤム,jlpt-n4,to cease
ゑて,1,*,unknown,unknown
途方,1,トホウ,unknown,way
据,1,*,jlpt-n5,to sit
尻,1,シリ,jlpt-n3,buttocks
ひざ,1,ヒザ,jlpt-n3,knee
洗,1,アライ,unknown,washing machine
七,1,ナナ,jlpt-n3,seven
こびりつく,1,コビリツク,unknown,to stick to
點々,1,*,unknown,unknown
糞,1,クソ,unknown,damn
草,1,クサ,jlpt-n4,grass
目,1,メ,jlpt-n5,eye
いせる,1,イセル,unknown,to ease (sewing garments)
遲,1,*,jlpt-n5,slow
ふりこめる,1,フリコメル,unknown,"to rain (or snow), keeping people indoors"
適,1,テキ,jlpt-n3,by chance
雲,1,クモ,jlpt-n4,cloud
暮し,1,クラシ,jlpt-n3,(way of) life
重たい,1,オモタイ,jlpt-n2,heavy
先,1,サキ,jlpt-n5,point
薨,1,*,unknown,"death (of a nobleman, etc.)"
［＃「,1,［,unknown,unknown
斜,1,ハス,jlpt-n2,slanting
屋根,1,ヤネ,jlpt-n3,roof
見上げる,1,ミアゲル,unknown,to look up at
あつめる,1,アツメル,jlpt-n4,to collect
ざあつと,1,*,unknown,unknown
遠く,1,トオク,jlpt-n4,far away
たどる,1,タドル,jlpt-n1,"to follow (a road, path, etc.)"
とりとめる,1,トリトメル,unknown,to narrowly escape (e.g. death)
明日,1,アシタ,jlpt-n4,tomorrow
模,1,モ,unknown,wooden printing block
差,1,サ,jlpt-n3,difference
